               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.011378,           0.0023388,           0.0044546,             0.99824,             0.99673,               0.995,             0.89781,            0.010462,           0.0019923,           0.0017453,            0.008713,            0.008713,            0.008713
                  67,            0.013269,           0.0024971,           0.0032704,             0.95589,             0.97602,             0.99295,             0.90455,            0.009495,           0.0019921,           0.0034959,           0.0086932,           0.0086932,           0.0086932
                  68,            0.012416,           0.0023968,             0.00305,              0.9515,             0.96551,             0.98559,             0.82241,            0.013399,            0.001999,           0.0046213,           0.0086734,           0.0086734,           0.0086734
                  69,            0.012104,           0.0024322,           0.0040503,             0.99763,             0.99812,               0.995,             0.91731,           0.0087968,           0.0018238,           0.0021672,           0.0086536,           0.0086536,           0.0086536
                  70,            0.013017,           0.0023535,           0.0030442,             0.99518,                   1,               0.995,             0.93803,            0.010501,           0.0018555,           0.0020959,           0.0086338,           0.0086338,           0.0086338
                  71,            0.013899,           0.0024329,            0.003226,             0.98174,             0.98023,             0.99419,             0.92451,            0.010645,           0.0019982,           0.0031506,            0.008614,            0.008614,            0.008614
                  72,            0.012223,           0.0025113,           0.0028344,              0.9941,              0.9981,               0.995,             0.92176,            0.009588,            0.001855,           0.0022321,           0.0085942,           0.0085942,           0.0085942
                  73,            0.012728,           0.0022825,           0.0035321,             0.99659,                   1,               0.995,             0.94352,            0.013813,           0.0018694,           0.0019078,           0.0085744,           0.0085744,           0.0085744
                  74,            0.012547,            0.002357,            0.002622,             0.99652,                   1,               0.995,             0.91602,            0.010113,           0.0019339,           0.0019236,           0.0085546,           0.0085546,           0.0085546
                  75,            0.012247,           0.0023171,           0.0026423,             0.99529,             0.99555,               0.995,              0.9224,            0.011778,           0.0019496,           0.0020262,           0.0085348,           0.0085348,           0.0085348
                  76,            0.012312,           0.0022148,           0.0026466,             0.99823,                   1,               0.995,             0.89963,            0.011858,           0.0018618,           0.0017825,            0.008515,            0.008515,            0.008515
                  77,            0.016019,            0.002237,           0.0047074,             0.99838,                   1,               0.995,             0.94338,            0.010394,           0.0018035,           0.0018719,           0.0084952,           0.0084952,           0.0084952
                  78,            0.011442,            0.002311,           0.0030708,             0.99823,             0.99877,               0.995,             0.91589,           0.0087632,           0.0018595,           0.0020145,           0.0084754,           0.0084754,           0.0084754
                  79,            0.013608,           0.0025316,           0.0029448,             0.99432,             0.99478,               0.995,             0.94356,           0.0080579,           0.0018603,           0.0018829,           0.0084556,           0.0084556,           0.0084556
                  80,            0.011006,           0.0024391,           0.0023852,              0.9961,             0.99796,             0.99494,              0.9303,           0.0086054,           0.0019602,           0.0019698,           0.0084358,           0.0084358,           0.0084358
                  81,             0.01206,           0.0023856,           0.0025546,             0.99834,                   1,               0.995,             0.94582,            0.010328,           0.0019073,            0.001574,            0.008416,            0.008416,            0.008416
                  82,            0.013357,           0.0023011,           0.0025445,             0.99823,                   1,               0.995,             0.91926,            0.011166,            0.001984,           0.0016372,           0.0083962,           0.0083962,           0.0083962
                  83,            0.012421,           0.0024351,           0.0024209,             0.99572,                   1,               0.995,             0.95082,           0.0090008,           0.0019056,           0.0019805,           0.0083764,           0.0083764,           0.0083764
                  84,            0.011826,           0.0023179,           0.0023229,             0.99842,                   1,               0.995,             0.92984,           0.0096391,           0.0018745,           0.0017416,           0.0083566,           0.0083566,           0.0083566
                  85,            0.011507,           0.0023396,           0.0021584,             0.99778,                   1,               0.995,             0.90567,           0.0096406,           0.0020152,           0.0016647,           0.0083368,           0.0083368,           0.0083368
                  86,             0.01149,            0.002319,            0.002271,             0.99736,                   1,               0.995,             0.95613,           0.0074477,           0.0017941,           0.0016997,            0.008317,            0.008317,            0.008317
                  87,             0.01114,           0.0022037,            0.002243,             0.99819,                   1,               0.995,             0.94592,           0.0089323,           0.0018052,           0.0016552,           0.0082972,           0.0082972,           0.0082972
